source_id,target_id,weight,relation_type
1114354765,1257956371,0.6948239221787036,normal_user_relation
1114354765,6559578812,0.4056589195669887,normal_user_relation
1114354765,6582335643,0.35286544831345934,normal_user_relation
1114354765,6673247192,0.6958028755432848,normal_user_relation
1114354765,6937268005,0.44625699451193046,normal_user_relation
1257956371,6128077487,0.39629147943539267,normal_user_relation
1257956371,6564127155,0.3840776383754366,normal_user_relation
1257956371,6745452707,0.7111980078863722,normal_user_relation
1336083415,5889562206,0.8388030100458315,normal_user_relation
1336083415,6086116393,0.6608076421092384,normal_user_relation
1336083415,6468743794,0.7602594902834174,normal_user_relation
1336083415,6706033174,0.13076233633487028,random
1358822505,5881960410,0.5895911012890718,normal_user_relation
1358822505,6515666296,0.8168999937852337,normal_user_relation
1358822505,6529218955,0.8373246613976448,normal_user_relation
1520520783,1940515031,0.7544031637966961,normal_user_relation
1520520783,5635145902,0.8262473550087883,normal_user_relation
1520520783,6300018804,0.522196293385122,normal_user_relation
1520520783,6314793781,0.5563724128292513,normal_user_relation
1520520783,6923175172,0.8767860291171079,normal_user_relation
1520520783,6941602404,0.16710194645831783,random
1520520783,7016516415,0.7405182129243957,normal_user_relation
1590285472,6552321214,0.3934943611940711,normal_user_relation
1590285472,6576896701,0.8219708644376282,normal_user_relation
1685989717,5151269269,0.9451344096941405,normal_user_relation
1685989717,5621860768,0.32395942930353616,normal_user_relation
1685989717,6506692364,0.850773178166403,normal_user_relation
1685989717,6582335643,0.5358509633905724,normal_user_relation
1685989717,6935018878,0.6934548101269049,normal_user_relation
1685989717,6964957973,0.21691867314255217,random
1706054664,6308455893,0.43531330167806376,normal_user_relation
1706054664,6497098651,0.38436561670502306,normal_user_relation
1706054664,6520168001,0.5719086759495995,normal_user_relation
1706054664,6814266204,0.26072700039013713,normal_user_relation
1706054664,6863779865,0.5253598316833411,normal_user_relation
1735009894,3809676617,0.7673854298170084,normal_user_relation
1735009894,5999909131,0.8637937706875065,normal_user_relation
1735009894,6128973622,0.3742206180094211,normal_user_relation
1735009894,6525735136,0.8292314545065052,normal_user_relation
1735009894,7011912517,0.6488180203358499,normal_user_relation
1742251903,3848477456,0.7571922211721154,normal_user_relation
1742251903,5333355379,0.7760160173007544,normal_user_relation
1742251903,6126727727,0.44208009588104247,normal_user_relation
1742251903,6632532856,0.48520433066083335,normal_user_relation
1742251903,6941426673,0.46078753181318977,normal_user_relation
1785015665,1800408110,0.6311654295549081,normal_user_relation
1785015665,3719968842,0.9609607349823979,normal_user_relation
1785015665,5157625858,0.27542627287652977,normal_user_relation
1785015665,6128973622,0.5087660332015802,normal_user_relation
1785015665,6869891001,0.4616750217229747,normal_user_relation
1800408110,1889813927,0.821553123323433,normal_user_relation
1800408110,5225841788,0.6678762676023944,normal_user_relation
1800408110,5274030185,0.5432904255390969,normal_user_relation
1800408110,6001871906,0.6389872406719688,normal_user_relation
1800408110,6974606782,0.6772811537613543,normal_user_relation
1800408110,7016592498,0.21698758749563685,random
1831184283,5158410579,0.8042880437610171,normal_user_relation
1831184283,5706372679,0.41522735066279426,normal_user_relation
1831184283,6371484235,0.6385540725074861,normal_user_relation
1870827101,6211266023,0.47147982905944535,normal_user_relation
1870827101,6535935227,0.6212082433265765,normal_user_relation
1870827101,6576884483,0.5419385050199492,normal_user_relation
1870827101,6881574682,0.8255008520559928,normal_user_relation
1870827101,6936435978,0.2964667094114566,normal_user_relation
1876520211,5661282092,0.7121791171121932,normal_user_relation
1876520211,5855795218,0.4328576080661137,normal_user_relation
